player_id,name_full,hand,dob,ioc,height,wikidata_id
100001,Gardnar Mulloy,R,1913-11-22,USA,185.0,Q54544
100002,Pancho Segura,R,1921-06-20,ECU,168.0,Q54581
100003,Frank Sedgman,R,1927-10-02,AUS,180.0,Q962049
100005,Richard Gonzalez,R,1928-05-09,USA,188.0,Q53554
100006,Grant Golden,R,1929-08-21,USA,175.0,Q3115390
100010,Luis Ayala,R,1932-09-18,CHI,170.0,Q1275397
100011,Torben Ulrich,L,1928-10-04,DEN,180.0,Q785404
100012,Nicola Pietrangeli,R,1933-09-11,ITA,178.0,Q709909
100013,Neale Fraser,L,1933-10-03,AUS,185.0,Q715173
100015,Sammy Giammalva,R,1934-08-01,USA,180.0,Q963700
100016,Ken Rosewall,R,1934-11-02,AUS,175.0,Q312728
100018,Barry Mackay,R,1935-08-31,USA,190.0,Q1258939
100020,Alejandro Olmedo,R,1936-03-24,PER,178.0,Q734544
100021,Ashley Cooper,R,1936-09-15,AUS,178.0,Q712208
100022,Roy Emerson,R,1936-11-03,AUS,183.0,Q312545
100024,Jan Erik Lundquist,R,1937-04-14,SWE,191.0,Q1341605
100025,Barry Phillips Moore,R,1937-07-09,AUS,173.0,Q1563886
100026,Andres Gimeno,R,1937-08-03,ESP,185.0,Q315958
100027,Gene Scott,R,1937-12-28,USA,185.0,Q1282493
100028,Manuel Santana,R,1938-05-10,ESP,170.0,Q445602
100029,Rod Laver,L,1938-08-09,AUS,173.0,Q105550
100030,Fred Stolle,R,1938-10-08,AUS,190.0,Q54671
100032,Patricio Rodriguez Chi,R,1938-12-20,CHI,188.0,Q7145979
100033,Wilhelm Bungert,R,1939-04-01,GER,188.0,Q77579
100035,Ion Tiriac,R,1939-05-09,ROU,185.0,Q924245
100037,Nikola Pilic,L,1939-08-27,CRO,191.0,Q452365
100038,Jaime Pinto Bravo,R,1939-10-09,CHI,178.0,Q18390167
100040,Bob Hewitt,R,1940-01-12,RSA,190.0,Q52453
100047,Bob Carmichael,R,1940-07-04,AUS,183.0,Q1565064
100048,Earl Butch Buchholz,R,1940-09-16,USA,188.0,Q195386
100049,Jim Mcmanus,L,1940-09-16,USA,175.0,Q12957721
100055,Cliff Drysdale,R,1941-05-26,RSA,188.0,Q582003
100058,Roger Taylor,L,1941-10-14,GBR,183.0,Q1282421
100060,Marty Riessen,R,1941-12-04,USA,185.0,Q1289530
100061,Tom Edlefsen,R,1941-12-12,USA,188.0,Q7815700
100062,Francois Jauffret,R,1942-02-09,FRA,180.0,Q1260078
100066,Frank Froehling,R,1942-05-19,USA,190.0,Q3082619
100067,Frew Mcmillan,R,1942-05-20,RSA,183.0,Q962512
100069,Dennis Ralston,R,1942-07-27,USA,188.0,Q1189457
100073,Mark Cox,L,1943-07-05,GBR,185.0,Q1565058
100074,Arthur Ashe,R,1943-07-10,USA,185.0,Q53325
100075,Owen Davidson,L,1943-10-04,AUS,185.0,Q976174
100076,Milan Holecek,R,1943-10-23,CZE,190.0,Q1563971
100078,Clark Graebner,R,1943-11-04,USA,188.0,Q1269127
100081,Charlie Pasarell,R,1944-02-12,USA,185.0,Q1269243
100084,Tom Okker,R,1944-02-22,NED,178.0,Q455411
100087,John Newcombe,R,1944-05-23,AUS,183.0,Q312464
100088,Patricio Cornejo,R,1944-06-06,CHI,180.0,Q1271345
100089,Patrice Beust,R,1944-09-03,FRA,170.0,Q3368873
100090,Dick Crealy,R,1944-09-18,AUS,191.0,Q962839
100091,Colin Dibley,R,1944-09-19,AUS,188.0,Q390839
100094,Jim Osborne,R,1945-02-01,USA,185.0,Q1562015
100096,Peter Burwash,R,1945-02-10,CAN,175.0,Q7173087
100098,Ove Bengtson,R,1945-04-05,SWE,196.0,Q374309
100100,Tony Roche,L,1945-05-17,AUS,178.0,Q710119
100106,Graham Stilwell,R,1945-11-15,GBR,173.0,Q5593283
100110,Terry Addison,R,1946-01-11,AUS,180.0,Q13848246
100113,Jan Kodes,R,1946-03-01,CZE,175.0,Q317431
100115,Jaime Fillol,R,1946-06-03,CHI,180.0,Q1258592
100116,Sherwood Stewart,R,1946-06-06,USA,188.0,Q984213
100117,Butch Seewagen,R,1946-06-13,USA,188.0,Q18030909
100119,Ilie Nastase,R,1946-07-19,ROU,183.0,Q106113
100120,Robert Maud,R,1946-08-12,RSA,180.0,Q1565123
100121,Raymond Moore,R,1946-08-24,RSA,183.0,Q1563090
100126,Stan Smith,R,1946-12-14,USA,193.0,Q54657
100127,Tom Gorman,R,1946-01-19,USA,180.0,Q1258917
100128,Cliff Richey,R,1946-12-31,USA,175.0,Q1565885
100134,Roy Barth,R,1947-03-30,USA,175.0,Q18240972
100135,Onny Parun,R,1947-04-15,NZL,188.0,Q939026
100137,Hans Jurgen Pohmann,R,1947-05-23,GER,178.0,Q95218
100139,Gerald Battrick,R,1947-05-27,GBR,178.0,Q1565118
100143,Peter Fishbach,R,1947-08-29,USA,180.0,Q87758114
100144,Bob Lutz,R,1947-08-29,USA,180.0,Q888085
100151,Karl Coombes,R,1947-12-17,AUS,180.0,Q16855126
100153,Patrice Hagelauer,R,1948-01-05,FRA,188.0,Q3368955
100158,John Bartlett,R,1948-03-17,AUS,188.0,Q6220953
100160,Georges Goven,R,1948-04-26,FRA,173.0,Q1563939
100162,Brian Fairlie,R,1948-06-13,NZL,173.0,Q1563153
100163,Tom Leonard,R,1948-07-15,USA,175.0,Q1563959
100172,Tito Vazquez,R,1949-01-01,ARG,173.0,Q2040551
100173,Andrew Pattison,R,1949-01-30,USA,188.0,Q716408
100174,Manuel Orantes,L,1949-02-06,ESP,178.0,Q318569
100176,Hans Kary,L,1949-02-23,AUT,172.0,Q3126972
100179,Karl Meiler,R,1949-04-30,GER,178.0,Q89533
100182,Mike Estep,R,1949-07-19,USA,173.0,Q4107672
100185,Patrick Proisy,R,1949-09-10,FRA,180.0,Q1282611
100186,Jeff Borowiak,R,1949-09-25,USA,193.0,Q1565788
100195,Nicolas Kelaidis,R,1949-10-29,GRE,178.0,Q27996064
100199,Patrice Dominguez,L,1950-01-12,FRA,173.0,Q3368924
100201,Syd Ball,R,1950-01-24,AUS,188.0,Q1563900
100203,Phil Dent,R,1950-02-14,AUS,183.0,Q976190
100205,Paul Gerken,R,1950-03-15,USA,185.0,Q3371310
100214,Adriano Panatta,R,1950-07-09,ITA,183.0,Q375938
100215,Fred Mcnair,R,1950-07-22,USA,183.0,Q3086899
100221,Carlos Kirmayr,R,1950-09-23,BRA,173.0,Q1042999
100229,Dick Stockton,R,1951-02-18,USA,188.0,Q967423
100231,Erik Van Dillen,R,1951-02-21,USA,183.0,Q1259691
100232,Eddie Dibbs,R,1951-02-23,USA,170.0,Q1282765
100233,Ricardo Cano,R,1951-02-26,ARG,170.0,Q3430221
100236,John James,R,1951-03-07,AUS,183.0,Q6241493
100240,Joao Soares,R,1951-04-25,BRA,185.0,Q6298385
100243,Steve Krulevitz,R,1951-05-30,USA,175.0,Q7613081
100244,John Alexander,R,1951-07-04,AUS,190.0,Q1281683
100247,Rolf Thung,L,1951-07-27,NED,190.0,Q1821050
100249,Paolo Bertolucci,R,1951-08-03,ITA,175.0,Q484985
100250,Woody Blocher,R,1951-08-24,USA,173.0,Q87495855
100252,Tim Gullikson,R,1951-09-08,USA,180.0,Q962989
100253,Tom Gullikson,L,1951-09-08,USA,180.0,Q1855348
100255,Roscoe Tanner,L,1951-10-15,USA,183.0,Q54681
100259,Peter Feigl,R,1951-11-30,AUT,183.0,Q3376565
100261,Brian Gottfried,R,1952-01-27,USA,183.0,Q912255
100266,John Feaver,R,1952-02-16,GBR,190.0,Q6232841
100270,Anand Amritraj,R,1952-03-20,IND,185.0,Q2698644
100272,Sandy Mayer,R,1952-04-05,USA,178.0,Q2096054
100273,Kim Warwick,R,1952-04-08,AUS,183.0,Q1741596
100274,Eric Deblicker,R,1952-04-17,FRA,178.0,Q3591073
100276,Terry Moor,L,1952-04-23,USA,178.0,Q716901
100279,Mike Cahill,R,1952-06-17,USA,183.0,Q6846222
100280,Wojtek Fibak,R,1952-08-03,POL,183.0,Q505565
100281,Sashi Menon,R,1952-08-09,IND,180.0,Q7425124
100282,Guillermo Vilas,L,1952-08-17,ARG,180.0,Q201515
100284,Jimmy Connors,L,1952-09-02,USA,178.0,Q53393
100285,Rod Frawley,R,1952-09-08,AUS,185.0,Q3438080
100286,Harold Solomon,R,1952-09-17,USA,168.0,Q1585949
100292,Alvaro Fillol,R,1952-12-04,CHI,178.0,Q3576981
100294,Rejean Genois,R,1952-12-30,CAN,175.0,Q7386114
100297,Corrado Barazzutti,R,1953-02-19,ITA,178.0,Q2713814
