tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2022-8888,Atp Cup,Hard,16,A,20220103,300,200000,,,Felix Auger Aliassime,R,193.0,CAN,21.4,105138,,,Roberto Bautista Agut,R,183.0,ESP,33.7,7-6(3) 6-3,3,F,129.0,15.0,6.0,78.0,51.0,38.0,14.0,11.0,10.0,11.0,0.0,2.0,70.0,50.0,32.0,7.0,10.0,3.0,5.0,11.0,3308.0,19.0,2260.0
2022-8888,Atp Cup,Hard,16,A,20220103,299,133430,,,Denis Shapovalov,L,185.0,CAN,22.7,105807,,,Pablo Carreno Busta,R,188.0,ESP,30.4,6-4 6-3,3,F,98.0,7.0,2.0,78.0,49.0,34.0,16.0,10.0,8.0,9.0,1.0,0.0,50.0,33.0,21.0,8.0,9.0,3.0,6.0,14.0,2475.0,20.0,2230.0
2022-8888,Atp Cup,Hard,16,A,20220103,298,105138,,,Roberto Bautista Agut,R,183.0,ESP,33.7,128034,,,Hubert Hurkacz,R,196.0,POL,24.8,7-6(6) 2-6 7-6(5),3,SF,164.0,1.0,2.0,96.0,64.0,50.0,20.0,16.0,1.0,4.0,24.0,3.0,120.0,80.0,62.0,20.0,16.0,6.0,7.0,19.0,2260.0,9.0,3706.0
2022-8888,Atp Cup,Hard,16,A,20220103,297,105807,,,Pablo Carreno Busta,R,188.0,ESP,30.4,126591,,,Jan Zielinski,R,,POL,25.1,6-2 6-1,3,SF,53.0,6.0,0.0,45.0,33.0,25.0,8.0,8.0,0.0,0.0,2.0,1.0,38.0,27.0,17.0,1.0,7.0,4.0,8.0,20.0,2230.0,860.0,18.0
2022-8888,Atp Cup,Hard,16,A,20220103,296,106421,,,Daniil Medvedev,R,198.0,RUS,25.8,200000,,,Felix Auger Aliassime,R,193.0,CAN,21.4,6-4 6-0,3,SF,68.0,6.0,4.0,41.0,25.0,22.0,10.0,8.0,0.0,0.0,6.0,2.0,48.0,35.0,22.0,4.0,8.0,3.0,7.0,2.0,8640.0,11.0,3308.0
2022-8888,Atp Cup,Hard,16,A,20220103,295,133430,,,Denis Shapovalov,L,185.0,CAN,22.7,126128,,,Roman Safiullin,R,185.0,RUS,24.4,6-4 5-7 6-4,3,SF,159.0,13.0,8.0,105.0,67.0,51.0,20.0,16.0,7.0,8.0,5.0,4.0,100.0,61.0,45.0,21.0,16.0,7.0,9.0,14.0,2475.0,167.0,409.0
2022-8888,Atp Cup,Hard,16,A,20220103,294,134770,,,Casper Ruud,R,183.0,NOR,23.0,105583,,,Dusan Lajovic,R,180.0,SRB,31.5,6-3 7-5,3,RR,100.0,1.0,3.0,65.0,39.0,31.0,11.0,11.0,2.0,4.0,4.0,0.0,63.0,38.0,24.0,9.0,10.0,3.0,7.0,8.0,4160.0,33.0,1591.0
2022-8888,Atp Cup,Hard,16,A,20220103,293,105936,,,Filip Krajinovic,R,185.0,SRB,29.8,126340,,,Viktor Durasovic,R,185.0,NOR,24.7,6-2 7-5,3,RR,73.0,8.0,0.0,51.0,34.0,27.0,12.0,10.0,2.0,3.0,4.0,1.0,63.0,38.0,27.0,10.0,10.0,7.0,11.0,42.0,1402.0,345.0,137.0
2022-8888,Atp Cup,Hard,16,A,20220103,292,106426,,,Cristian Garin,R,185.0,CHI,25.5,105583,,,Dusan Lajovic,R,180.0,SRB,31.5,4-6 6-4 3-0 RET,3,RR,134.0,4.0,1.0,92.0,59.0,36.0,14.0,11.0,9.0,13.0,6.0,5.0,79.0,51.0,29.0,13.0,12.0,8.0,14.0,17.0,2353.0,33.0,1591.0
2022-8888,Atp Cup,Hard,16,A,20220103,291,105936,,,Filip Krajinovic,R,185.0,SRB,29.8,126214,,,Alejandro Tabilo,L,188.0,CHI,24.5,6-4 3-6 7-6(5),3,RR,145.0,5.0,2.0,97.0,65.0,49.0,12.0,15.0,2.0,6.0,11.0,4.0,101.0,65.0,42.0,19.0,16.0,1.0,5.0,42.0,1402.0,139.0,505.0
2022-8888,Atp Cup,Hard,16,A,20220103,290,105138,,,Roberto Bautista Agut,R,183.0,ESP,33.7,105583,,,Dusan Lajovic,R,180.0,SRB,31.5,6-1 6-4,3,RR,84.0,1.0,0.0,50.0,31.0,28.0,10.0,9.0,2.0,2.0,2.0,0.0,54.0,32.0,23.0,8.0,8.0,4.0,7.0,19.0,2260.0,33.0,1591.0
2022-8888,Atp Cup,Hard,16,A,20220103,289,105807,,,Pablo Carreno Busta,R,188.0,ESP,30.4,105936,,,Filip Krajinovic,R,185.0,SRB,29.8,6-3 6-4,3,RR,80.0,4.0,2.0,54.0,33.0,29.0,11.0,10.0,1.0,2.0,4.0,1.0,57.0,34.0,25.0,9.0,9.0,3.0,6.0,20.0,2230.0,42.0,1402.0
2022-8888,Atp Cup,Hard,16,A,20220103,288,134770,,,Casper Ruud,R,183.0,NOR,23.0,106426,,,Cristian Garin,R,185.0,CHI,25.5,6-4 6-1,3,RR,84.0,4.0,1.0,57.0,36.0,30.0,12.0,9.0,3.0,3.0,3.0,2.0,54.0,36.0,23.0,8.0,8.0,4.0,7.0,8.0,4160.0,17.0,2353.0
2022-8888,Atp Cup,Hard,16,A,20220103,287,126214,,,Alejandro Tabilo,L,188.0,CHI,24.5,126340,,,Viktor Durasovic,R,185.0,NOR,24.7,6-1 6-7(5) 6-1,3,RR,109.0,11.0,0.0,77.0,52.0,38.0,21.0,14.0,1.0,2.0,11.0,6.0,95.0,57.0,36.0,16.0,12.0,6.0,11.0,139.0,505.0,345.0,137.0
2022-8888,Atp Cup,Hard,16,A,20220103,286,105138,,,Roberto Bautista Agut,R,183.0,ESP,33.7,134770,,,Casper Ruud,R,183.0,NOR,23.0,6-4 7-6(4),3,RR,105.0,2.0,0.0,63.0,39.0,36.0,14.0,11.0,0.0,0.0,10.0,3.0,71.0,43.0,36.0,12.0,11.0,2.0,3.0,19.0,2260.0,8.0,4160.0
2022-8888,Atp Cup,Hard,16,A,20220103,285,105807,,,Pablo Carreno Busta,R,188.0,ESP,30.4,126340,,,Viktor Durasovic,R,185.0,NOR,24.7,6-3 6-3,3,RR,68.0,7.0,0.0,44.0,33.0,30.0,6.0,9.0,0.0,0.0,8.0,3.0,65.0,34.0,23.0,15.0,9.0,5.0,8.0,20.0,2230.0,345.0,137.0
2022-8888,Atp Cup,Hard,16,A,20220103,284,105138,,,Roberto Bautista Agut,R,183.0,ESP,33.7,106426,,,Cristian Garin,R,185.0,CHI,25.5,6-0 6-3,3,RR,81.0,2.0,1.0,50.0,33.0,26.0,8.0,8.0,1.0,2.0,1.0,3.0,51.0,25.0,14.0,9.0,7.0,2.0,7.0,19.0,2260.0,17.0,2353.0
2022-8888,Atp Cup,Hard,16,A,20220103,283,105807,,,Pablo Carreno Busta,R,188.0,ESP,30.4,126214,,,Alejandro Tabilo,L,188.0,CHI,24.5,6-4 7-6(4),3,RR,112.0,1.0,6.0,71.0,43.0,32.0,13.0,11.0,3.0,6.0,6.0,6.0,81.0,52.0,34.0,12.0,11.0,6.0,10.0,20.0,2230.0,139.0,505.0
2022-8888,Atp Cup,Hard,16,A,20220103,282,106421,,,Daniil Medvedev,R,198.0,RUS,25.8,126610,,,Matteo Berrettini,R,196.0,ITA,25.7,6-2 6-7(5) 6-4,3,RR,157.0,8.0,1.0,91.0,59.0,47.0,22.0,15.0,2.0,2.0,6.0,1.0,106.0,70.0,56.0,12.0,15.0,8.0,11.0,2.0,8640.0,7.0,4568.0
2022-8888,Atp Cup,Hard,16,A,20220103,281,206173,,,Jannik Sinner,R,188.0,ITA,20.3,126128,,,Roman Safiullin,R,185.0,RUS,24.4,7-6(6) 6-3,3,RR,116.0,11.0,2.0,90.0,55.0,39.0,17.0,11.0,11.0,12.0,4.0,2.0,70.0,43.0,29.0,14.0,10.0,3.0,5.0,10.0,3350.0,167.0,409.0
