player_id,name_full,hand,dob,ioc,height,wikidata_id
100001,Gardnar Mulloy,R,1913-11-22,USA,185.0,Q54544
100002,Pancho Segura,R,1921-06-20,ECU,168.0,Q54581
100003,Frank Sedgman,R,1927-10-02,AUS,180.0,Q962049
100004,Giuseppe Merlo,R,1927-10-11,ITA,,Q1258752
100005,Richard Gonzalez,R,1928-05-09,USA,188.0,Q53554
100006,Grant Golden,R,1929-08-21,USA,175.0,Q3115390
100007,Abe Segal,L,1930-10-23,RSA,,Q1258527
100008,Kurt Nielsen,R,1930-11-19,DEN,,Q552261
100009,Istvan Gulyas,R,1931-10-14,HUN,,Q51066
100010,Luis Ayala,R,1932-09-18,CHI,170.0,Q1275397
100011,Torben Ulrich,L,1928-10-04,DEN,180.0,Q785404
100012,Nicola Pietrangeli,R,1933-09-11,ITA,178.0,Q709909
100013,Neale Fraser,L,1933-10-03,AUS,185.0,Q715173
100014,Trevor Fancutt,R,1934-07-14,RSA,,Q3538577
100015,Sammy Giammalva,R,1934-08-01,USA,180.0,Q963700
100016,Ken Rosewall,R,1934-11-02,AUS,175.0,Q312728
100017,Mal Anderson,R,1935-03-03,AUS,,Q963687
100018,Barry Mackay,R,1935-08-31,USA,190.0,Q1258939
100019,Wieslaw Gasiorek,R,1936-01-13,POL,,Q1258736
100020,Alejandro Olmedo,R,1936-03-24,PER,178.0,Q734544
100021,Ashley Cooper,R,1936-09-15,AUS,178.0,Q712208
100022,Roy Emerson,R,1936-11-03,AUS,183.0,Q312545
100023,Ramanathan Krishnan,R,1937-04-11,IND,,Q1559952
100024,Jan Erik Lundquist,R,1937-04-14,SWE,191.0,Q1341605
100025,Barry Phillips Moore,R,1937-07-09,AUS,173.0,Q1563886
100026,Andres Gimeno,R,1937-08-03,ESP,185.0,Q315958
100027,Gene Scott,R,1937-12-28,USA,185.0,Q1282493
100028,Manuel Santana,R,1938-05-10,ESP,170.0,Q445602
100029,Rod Laver,L,1938-08-09,AUS,173.0,Q105550
100030,Fred Stolle,R,1938-10-08,AUS,190.0,Q54671
100031,Dimitri Sturdza,R,1938-11-10,SUI,,Q20431255
100032,Patricio Rodriguez Chi,R,1938-12-20,CHI,188.0,Q7145979
100033,Wilhelm Bungert,R,1939-04-01,GER,188.0,Q77579
100034,Christian Kuhnke,L,1939-04-13,GER,,Q461558
100035,Ion Tiriac,R,1939-05-09,ROU,185.0,Q924245
100036,Rudy Hernando,R,1939-06-10,USA,,
100037,Nikola Pilic,L,1939-08-27,CRO,191.0,Q452365
100038,Jaime Pinto Bravo,R,1939-10-09,CHI,178.0,Q18390167
100039,Boro Jovanovic,R,1939-10-21,CRO,,Q1259703
100040,Bob Hewitt,R,1940-01-12,RSA,190.0,Q52453
100041,Ned Neely,R,1940-01-14,USA,,
100042,Ryoichi Mori,R,1940-01-14,JPN,,
100043,Zdenek Slizek,R,1940-02-19,CZE,,
100044,Sergei Likhachev,R,1940-03-20,RUS,,Q3479599
100045,John Paish,L,1940-03-23,GBR,,Q13512828
100046,Larry Nagler,R,1940-07-01,USA,,
100047,Bob Carmichael,R,1940-07-04,AUS,183.0,Q1565064
100048,Earl Butch Buchholz,R,1940-09-16,USA,188.0,Q195386
100049,Jim Mcmanus,L,1940-09-16,USA,175.0,Q12957721
100050,Martin Mulligan,R,1940-10-18,AUS,,Q1291938
100051,Premjit Lall,R,1940-10-20,IND,,Q1268979
100052,Keishiro Yanagi,R,1941-02-24,JPN,,Q87798987
100053,Colin Stubs,R,1941-02-27,AUS,,
100054,Jose Edison Mandarino,R,1941-03-26,BRA,173.0,
100055,Cliff Drysdale,R,1941-05-26,RSA,188.0,Q582003
100056,Harald Elschenbroich,R,1941-06-19,GER,,Q5653740
100057,Pierre Barthes,R,1941-09-13,FRA,,Q1558013
100058,Roger Taylor,L,1941-10-14,GBR,183.0,Q1282421
100059,Isao Watanabe,R,1941-11-23,JPN,,Q87795355
100060,Marty Riessen,R,1941-12-04,USA,185.0,Q1289530
100061,Tom Edlefsen,R,1941-12-12,USA,188.0,Q7815700
100062,Francois Jauffret,R,1942-02-09,FRA,180.0,Q1260078
100063,Billy Higgins,R,1942-04-02,USA,,
100064,Juan Gisbert,R,1942-04-05,ESP,,Q1290022
100065,Terry Ryan,R,1942-04-27,RSA,,Q23020633
100066,Frank Froehling,R,1942-05-19,USA,190.0,Q3082619
100067,Frew Mcmillan,R,1942-05-20,RSA,183.0,Q962512
100068,Herb Fitzgibbon,R,1942-07-14,USA,,Q1565884
100069,Dennis Ralston,R,1942-07-27,USA,188.0,Q1189457
100070,Jan Kukal,R,1942-09-13,CZE,,Q1258763
100071,Jean Claude Barclay,R,1942-12-30,FRA,,Q1561962
100072,Bailey Brown,R,1943-06-15,USA,,
100073,Mark Cox,L,1943-07-05,GBR,185.0,Q1565058
100074,Arthur Ashe,R,1943-07-10,USA,185.0,Q53325
100075,Owen Davidson,L,1943-10-04,AUS,185.0,Q976174
100076,Milan Holecek,R,1943-10-23,CZE,190.0,Q1563971
100077,Daniel Contet,R,1943-11-03,FRA,,Q1563980
100078,Clark Graebner,R,1943-11-04,USA,188.0,Q1269127
100079,Bill Bowrey,R,1943-12-25,AUS,,Q577531
100080,Szabolcz Baranyi,R,1944-01-31,HUN,,Q13512888
100081,Charlie Pasarell,R,1944-02-12,USA,185.0,Q1269243
100082,Roger Dowdeswell,R,1944-02-16,ZIM,,Q7358114
100083,Nicola Spear,R,1944-02-22,SRB,,Q1258505
100084,Tom Okker,R,1944-02-22,NED,178.0,Q455411
100085,Hans Joachim Ploetz,R,1944-02-26,GER,,
100086,Frantisek Pala,L,1944-03-28,CZE,,Q323289
100087,John Newcombe,R,1944-05-23,AUS,183.0,Q312464
100088,Patricio Cornejo,R,1944-06-06,CHI,180.0,Q1271345
100089,Patrice Beust,R,1944-09-03,FRA,170.0,Q3368873
100090,Dick Crealy,R,1944-09-18,AUS,191.0,Q962839
100091,Colin Dibley,R,1944-09-19,AUS,188.0,Q390839
100092,Alex Metreveli,R,1944-11-02,RUS,,Q465796
100093,William Brown,R,1945-01-14,USA,,Q13512796
100094,Jim Osborne,R,1945-02-01,USA,185.0,Q1562015
100095,Tony Bardsley,R,1945-02-09,CAN,,Q7821830
100096,Peter Burwash,R,1945-02-10,CAN,175.0,Q7173087
100097,Nicholas Kalogeropoulos,R,1945-02-18,GRE,,Q3339850
100098,Ove Bengtson,R,1945-04-05,SWE,196.0,Q374309
100099,Thomaz Koch,L,1945-05-11,BRA,,Q1281836
100100,Tony Roche,L,1945-05-17,AUS,178.0,Q710119
100101,Mike Belkin,R,1945-06-29,CAN,,Q1563966
100102,Joaquin Loyo Mayo,R,1945-08-16,MEX,,Q1565143
100103,Peter Curtis,R,1945-08-29,GBR,,Q3376525
100104,Richard Russell,R,1945-09-08,JAM,,
100105,Allan Stone,R,1945-10-14,AUS,,Q1260060
100106,Graham Stilwell,R,1945-11-15,GBR,173.0,Q5593283
100107,Robert Rheinberger,R,1945-11-18,AUS,,
100108,Chris Bovett,R,1945-12-25,GBR,,
100109,Jun Kuki,R,1945-12-28,JPN,,Q16267024
100110,Terry Addison,R,1946-01-11,AUS,180.0,Q13848246
100111,Ray Keldie,R,1946-01-17,AUS,,Q7297691
100112,John Clifton,R,1946-02-19,GBR,,Q6226389
100113,Jan Kodes,R,1946-03-01,CZE,175.0,Q317431
100114,Ray Ruffels,R,1946-03-23,AUS,,Q1258947
100115,Jaime Fillol,R,1946-06-03,CHI,180.0,Q1258592
100116,Sherwood Stewart,R,1946-06-06,USA,188.0,Q984213
100117,Butch Seewagen,R,1946-06-13,USA,188.0,Q18030909
100118,Ivan Molina,L,1946-06-16,COL,,Q1281826
100119,Ilie Nastase,R,1946-07-19,ROU,183.0,Q106113
100120,Robert Maud,R,1946-08-12,RSA,180.0,Q1565123
100121,Raymond Moore,R,1946-08-24,RSA,183.0,Q1563090
100122,Julian Ganzabal,R,1946-08-25,ARG,,Q22004451
100123,Patrick Hombergen,R,1946-09-08,BEL,,Q23023184
100124,Steve Turner,R,1946-10-17,USA,,
100125,John Cooper,R,1946-11-04,AUS,,Q1260301
100126,Stan Smith,R,1946-12-14,USA,193.0,Q54657
100127,Tom Gorman,R,1946-01-19,USA,180.0,Q1258917
100128,Cliff Richey,R,1946-12-31,USA,175.0,Q1565885
100129,Jean Baptiste Chanfreau,R,1947-01-17,FRA,,Q1563100
100130,Vladimir Zednik,R,1947-02-01,CZE,,Q1261168
100131,Guillermo Oropez,R,1947-02-07,USA,,
100132,Armistead Neely,R,1947-03-19,USA,,Q18085277
100133,Pat Cramer,R,1947-03-21,RSA,,Q7143331
